Drowsiness Detection Log - 2025-08-01 14:38:49.058354
Time,Event,Score,Duration
14:38:54,Eyes Closed,1,-
14:38:54,Eyes Closed,2,-
14:38:55,Eyes Closed,3,-
14:38:55,Eyes Closed,4,-
14:38:55,Eyes Closed,5,-
14:38:55,Eyes Closed,6,-
14:38:55,Eyes Closed,7,-
14:38:56,Eyes Closed,8,-
14:38:56,Eyes Closed,9,-
14:38:56,Eyes Closed,10,-
14:38:56,Eyes Opened,10,2.12s
14:38:57,Eyes Closed,8,-
14:38:57,Eyes Closed,9,-
14:38:57,Eyes Opened,9,0.43s
14:38:58,Eyes Closed,5,-
14:38:59,Eyes Closed,6,-
14:38:59,Eyes Closed,7,-
14:38:59,Eyes Closed,8,-
14:38:59,Eyes Closed,9,-
14:39:00,Eyes Closed,10,-
14:39:00,Eyes Closed,11,-
14:39:00,Eyes Closed,12,-
14:39:00,Eyes Closed,13,-
14:39:00,Eyes Closed,14,-
14:39:01,Eyes Closed,15,-
14:39:01,Time Alert,15,2.14s
14:39:02,Eyes Closed,16,-
14:39:02,Time Alert,16,3.08s
14:39:03,Score Alert,16,-
14:39:06,Eyes Closed,2,-
14:39:07,Eyes Closed,3,-
14:39:07,Eyes Closed,4,-
